r_Targ,ug_Targ,ur_Targ,ui_Targ,uz_Targ,gr_Targ,gi_Targ,gz_Targ,ri_Targ,rz_Targ,iz_Targ
18.831203,3.1243064,5.437295,5.520596,5.624637,2.3129883,2.3962896,2.5003307,0.08330139,0.1873424,0.104041025
19.676098,1.481136,3.630337,3.6249654,3.5808098,2.1492012,2.1438293,2.099674,-0.00537167,-0.04952723,-0.04415556
19.600714,2.692186,5.8615026,6.355614,6.849229,3.1693165,3.663428,4.157043,0.49411166,0.9877265,0.49361485
18.353588,4.16595,5.5831027,6.0801487,6.2641344,1.4171531,1.9141991,2.0981846,0.497046,0.68103147,0.18398549
19.351196,3.0409102,5.829677,6.0279446,6.436855,2.7887669,2.9870346,3.3959444,0.19826777,0.6071777,0.40890992
19.734005,2.136523,3.33779,3.6254187,3.9566567,1.2012669,1.4888955,1.8201337,0.2876287,0.61886686,0.33123815
20.208632,2.5452366,3.6060753,3.8035026,3.644947,1.0608387,1.258266,1.0997105,0.19742732,0.03887184,-0.15855548
20.001907,2.5001812,3.419896,3.410017,3.5025256,0.9197146,0.90983593,1.0023444,-0.0098787,0.08262979,0.09250849
19.621,2.3073177,3.3843467,3.6298645,3.7823112,1.0770291,1.3225467,1.4749935,0.24551763,0.39796442,0.15244678
19.299303,2.2669392,3.7393816,3.7050285,3.5611153,1.4724425,1.4380893,1.2941761,-0.0343532,-0.17826642,-0.14391322
18.692945,3.0826232,3.9902763,4.0841117,4.1247435,0.9076531,1.0014886,1.0421201,0.09383546,0.13446698,0.04063151
19.940533,2.0412583,3.3735688,3.4468267,3.212425,1.3323107,1.4055685,1.1711669,0.073257886,-0.16114381,-0.23440169
19.311104,2.988699,5.426466,5.8101583,6.0001698,2.4377668,2.8214593,3.011471,0.38369244,0.5737041,0.19001168
19.780157,4.1475654,5.5703273,5.765554,5.68448,1.4227618,1.6179882,1.5369147,0.1952264,0.11415288,-0.08107352
19.462818,2.5210996,3.5327468,3.6674795,3.7471273,1.0116472,1.1463801,1.2260277,0.13473281,0.21438049,0.079647675
19.961893,2.6534097,3.7590675,3.907293,3.9823213,1.1056578,1.2538832,1.3289115,0.14822544,0.22325374,0.07502831
18.737055,4.946013,6.296694,6.3733125,6.688017,1.3506808,1.4272995,1.7420038,0.07661872,0.39132306,0.31470433
20.124779,2.6031532,3.7477064,3.709709,3.3427646,1.1445532,1.1065556,0.7396113,-0.03799761,-0.4049419,-0.36694428
19.75766,2.7425811,4.384241,4.9584594,5.1481023,1.6416601,2.2158785,2.4055214,0.5742184,0.7638613,0.1896429
