r_NonTarg,ug_NonTarg,ur_NonTarg,ui_NonTarg,uz_NonTarg,gr_NonTarg,gi_NonTarg,gz_NonTarg,ri_NonTarg,rz_NonTarg,iz_NonTarg
18.166725,0.4031348,0.83419055,0.7969385,0.8001223,0.43105578,0.39380372,0.39698753,-0.03725206,-0.03406825,0.00318381
19.055735,0.71435547,1.1990031,1.2071834,1.2536057,0.48464766,0.49282795,0.53925025,0.00818029,0.05460261,0.04642232
19.331358,0.20619628,0.50326246,0.71255124,0.6736468,0.2970662,0.506355,0.46745053,0.20928878,0.17038435,-0.038904436
18.497246,0.4761947,0.5631408,0.8425806,0.8937683,0.08694607,0.3663859,0.4175736,0.27943984,0.33062753,0.05118771
18.75653,1.108488,1.3501984,1.4556841,1.3421527,0.24171048,0.3471962,0.23366477,0.1054857,-0.00804572,-0.11353142
18.14325,0.5474729,0.67421347,0.7211836,0.9312039,0.12674057,0.1737107,0.383731,0.046970133,0.25699043,0.2100203
18.826344,0.17026293,0.42100134,0.2531524,0.18818109,0.2507384,0.08288945,0.01791814,-0.16784894,-0.23282026,-0.06497131
18.813524,-0.16739394,0.22592822,0.2203688,0.15400445,0.39332214,0.38776273,0.3213984,-0.00555941,-0.07192375,-0.06636434
19.1241,0.28651506,0.41123852,0.40693328,0.40907046,0.12472348,0.12041823,0.1225554,-0.004305254,-0.00216808,0.002137174
19.427534,-0.01299385,0.39749226,0.3433448,0.3125687,0.4104861,0.35633868,0.32556254,-0.05414743,-0.08492355,-0.030776124
17.199999,0.22272953,0.44860774,0.35546544,1.1731086,0.22587822,0.13273592,0.950379,-0.0931423,0.7245008,0.8176431
19.375801,0.0833675,0.18342492,0.23673756,0.014873706,0.100057416,0.15337005,-0.06849379,0.053312644,-0.1685512,-0.22186385
18.922344,0.5139298,0.7338855,1.0168079,0.9459505,0.21995576,0.50287807,0.43202075,0.28292233,0.21206498,-0.07085735
19.885757,0.2856584,0.48049274,0.7489261,0.76896095,0.19483437,0.4632677,0.4833026,0.26843333,0.28846824,0.020034883
18.750458,0.15547916,0.713072,1.0057482,1.275146,0.5575928,0.850269,1.1196669,0.29267615,0.56207407,0.2693979
19.676325,-0.53606004,-0.2285886,-0.1905741,-0.26003587,0.30747142,0.34548593,0.27602416,0.03801451,-0.03144728,-0.06946179
17.285511,0.44638342,0.8857955,0.82734615,0.87126434,0.43941203,0.3809627,0.4248809,-0.05844931,-0.014531126,0.043918185
19.621048,-0.080898255,0.37917626,0.24887353,0.25210682,0.4600745,0.3297718,0.33300507,-0.13030274,-0.12706944,0.003233295
18.821974,0.38971272,0.75404626,1.2208432,1.323043,0.36433354,0.83113045,0.93333024,0.4667969,0.5689967,0.1021998
17.75861,0.24644408,0.3689829,0.506571,0.52345395,0.12253883,0.26012692,0.27700987,0.13758808,0.15447104,0.016882965
18.154255,0.06885351,0.34793225,0.691304,0.7254626,0.27907872,0.62245053,0.6566091,0.3433718,0.3775304,0.034158595
19.670647,0.33695215,0.79865676,1.1780673,1.3429881,0.4617046,0.84111524,1.0060359,0.3794106,0.5443314,0.16492075
19.479084,0.05583873,0.22676107,0.21860255,0.16468348,0.17092234,0.16276383,0.10884474,-0.00815851,-0.0620776,-0.05391909
19.211836,0.29846826,0.72818494,1.2073486,1.4993426,0.42971665,0.90888023,1.2008743,0.4791636,0.7711577,0.29199407
17.408236,0.2957883,0.32314655,0.38844243,0.6672867,0.027358243,0.09265414,0.37149838,0.0652959,0.3441401,0.27884424
20.1517,1.0618432,1.8106316,2.01251,1.9587379,0.7487885,0.9506669,0.89689475,0.20187843,0.1481063,-0.053772114
18.956938,0.412088,0.4980072,0.2564845,0.46676147,0.08591922,-0.15560348,0.05467346,-0.2415227,-0.03124576,0.21027695
17.97454,0.19627185,0.3183636,0.49236012,0.4409963,0.12209175,0.29608828,0.24472444,0.17399652,0.1226327,-0.051363826
19.301579,0.27708432,0.3536754,0.4582473,0.65628827,0.07659107,0.18116297,0.37920392,0.1045719,0.30261284,0.19804095
20.032051,1.3752538,2.7006652,3.8075867,4.4496245,1.3254114,2.4323328,3.0743706,1.1069213,1.7489592,0.6420378
20.04328,0.67358166,0.80478996,0.8990454,1.3455356,0.13120832,0.22546373,0.67195404,0.09425542,0.5407457,0.4464903
19.949503,0.04973322,0.21683082,0.3645768,0.36093798,0.1670976,0.31484357,0.31120476,0.14774598,0.14410718,-0.003638808
19.613045,0.6561528,1.056173,1.2448976,1.4921681,0.40002012,0.5887448,0.8360152,0.18872467,0.4359951,0.24727045
19.566572,0.31677297,0.29470167,0.41497174,0.33891693,-0.02207128,0.09819879,0.02214398,0.120270066,0.04421526,-0.076054804
19.666233,0.20326038,0.43357718,0.5796722,0.70412403,0.23031682,0.37641183,0.5008636,0.14609501,0.27054682,0.12445181
19.24946,0.37097833,0.55671763,0.91347116,0.84274495,0.1857393,0.5424928,0.4717666,0.35675353,0.28602728,-0.07072622
19.20637,0.12233605,0.28592896,0.62769806,0.56261885,0.1635929,0.50536203,0.4402828,0.34176913,0.2766899,-0.065079235
19.349415,-0.07681608,-0.07580687,0.08626611,0.2592245,0.00100921,0.1630822,0.3360406,0.16207299,0.3350314,0.1729584
19.533548,0.5609863,0.36668658,0.46851373,0.38961664,-0.19429971,-0.09247257,-0.17136967,0.101827145,0.022930043,-0.0788971
19.5768,0.19160606,0.14922385,0.33279088,0.52644944,-0.042382214,0.1411848,0.3348434,0.18356702,0.3772256,0.19365859
18.303398,2.8659115,4.249135,5.355617,5.952321,1.3832237,2.4897056,3.0864098,1.1064818,1.703186,0.5967042
19.204355,0.48706517,1.0148506,1.2786247,1.4630787,0.52778554,0.79155946,0.97601354,0.26377395,0.44822803,0.18445408
18.33079,0.38107714,0.50085306,0.69566214,0.7491049,0.11977592,0.31458497,0.36802775,0.19480906,0.24825184,0.053442772
19.236269,0.43187034,0.812001,1.1499369,1.4700478,0.38013062,0.71806663,1.0381774,0.33793598,0.6580468,0.32011083
20.014076,0.5594829,0.88488746,1.1267537,1.645732,0.3254046,0.5672708,1.0862492,0.24186622,0.7608446,0.51897836
19.337122,0.42758232,0.37833977,0.38193658,0.7044812,-0.049242564,-0.04564574,0.27689883,0.003596825,0.3261414,0.32254457
